session_id,scenario_id,trajectory_name,iteration,fog_percent,illumination_lux,camera_noise,person_ap50,vehicle_ap50,map50,person_gt_count,vehicle_gt_count,person_detection_count,vehicle_detection_count,person_tp,person_fp,person_fn,vehicle_tp,vehicle_fp,vehicle_fn,total_tp,total_fp,total_fn,precision,recall,person_precision,person_recall,vehicle_precision,vehicle_recall,maximum_iou,mean_iou,verdict,nonfail_anchor,fail_anchor,next_environment,next_condition_calculation,simulation_seconds,frame_rendering_seconds,yolov8_inference_seconds,metric_scoring_seconds,policy_seconds,total_execution_seconds,evaluation_store_used,evaluation_cache_key,trajectory_config_sha256,weights_sha256,gt_version
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S4,원거리 시작 후 전방 접근,1,5.0,12000.0,0.02,0.5812094896097977,0.9655172413793104,0.773363365494554,172,29,105,37,101,4,71,28,9,1,129,13,72,0.9084507042253521,0.6417910447761194,0.9619047619047619,0.5872093023255814,0.7567567567567568,0.9655172413793104,0.9934428702349477,0.9080677662360638,PASS,"{""cache_key"": ""26b2ee97d028a949cbb62c90"", ""camera_noise"": 0.02, ""fog_percent"": 5.0, ""illumination_lux"": 12000.0, ""map50"": 0.773363365494554, ""verdict"": ""PASS""}",null,"{""camera_noise"": 0.22, ""fog_percent"": 35.0, ""illumination_lux"": 6000.0}","common_pre_fail_degradation: fog+30pp, illumination*0.50, noise+0.20",0.0287818,48.2072315,91.52984870038927,0.0024252012372016907,0.0003801994025707245,139.76866740102903,True,26b2ee97d028a949cbb62c90,24B44E97EF1D5F50A2FC370C5B1BCEDA959B649E230BCBD268536176979A19B0,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S4,원거리 시작 후 전방 접근,2,35.0,6000.0,0.22,0.6074006759843689,0.9310344827586207,0.7692175793714948,172,29,107,27,105,2,67,27,0,2,132,2,69,0.9850746268656716,0.6567164179104478,0.9813084112149533,0.6104651162790697,1.0,0.9310344827586207,0.982957335105302,0.9100412559093187,PASS,"{""cache_key"": ""fc7a4169b99d38f6bc1cb420"", ""camera_noise"": 0.22, ""fog_percent"": 35.0, ""illumination_lux"": 6000.0, ""map50"": 0.7692175793714948, ""verdict"": ""PASS""}",null,"{""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0}","common_pre_fail_degradation: fog+30pp, illumination*0.50, noise+0.20",0.0308145,55.7572673,84.91841679997742,0.002158600836992264,3.3000484108924866e-05,140.7086902012985,False,fc7a4169b99d38f6bc1cb420,24B44E97EF1D5F50A2FC370C5B1BCEDA959B649E230BCBD268536176979A19B0,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S4,원거리 시작 후 전방 접근,3,65.0,3000.0,0.42,0.24867864693446093,0.6896551724137931,0.46916690967412705,172,29,44,20,43,1,129,20,0,9,63,1,138,0.984375,0.31343283582089554,0.9772727272727273,0.25,1.0,0.6896551724137931,0.963421494949126,0.8823210331344428,MARGINAL,"{""cache_key"": ""d8ce220606a63cfb9859b926"", ""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0, ""map50"": 0.46916690967412705, ""verdict"": ""MARGINAL""}",null,"{""camera_noise"": 0.6, ""fog_percent"": 95.0, ""illumination_lux"": 1500.0}","common_pre_fail_degradation: fog+30pp, illumination*0.50, noise+0.20",0.0355773,60.6850201,5.610123600810766,0.0019105002284049988,3.390014171600342e-05,66.33266540118089,False,d8ce220606a63cfb9859b926,24B44E97EF1D5F50A2FC370C5B1BCEDA959B649E230BCBD268536176979A19B0,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S4,원거리 시작 후 전방 접근,4,95.0,1500.0,0.6,0.0,0.0,0.0,172,29,0,0,0,0,172,0,0,29,0,0,201,0.0,0.0,0.0,0.0,0.0,0.0,null,null,FAIL,"{""cache_key"": ""d8ce220606a63cfb9859b926"", ""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0, ""map50"": 0.46916690967412705, ""verdict"": ""MARGINAL""}","{""cache_key"": ""dd0b5ddca41ef2a5880fc7ee"", ""camera_noise"": 0.6, ""fog_percent"": 95.0, ""illumination_lux"": 1500.0, ""map50"": 0.0, ""verdict"": ""FAIL""}","{""camera_noise"": 0.51, ""fog_percent"": 80.0, ""illumination_lux"": 2250.0}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.0209559,66.2480556,5.623180599883199,0.0008384007960557938,4.62997704744339e-05,71.89307680044973,False,dd0b5ddca41ef2a5880fc7ee,24B44E97EF1D5F50A2FC370C5B1BCEDA959B649E230BCBD268536176979A19B0,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S4,원거리 시작 후 전방 접근,5,80.0,2250.0,0.51,0.005813953488372093,0.0,0.0029069767441860465,172,29,1,0,1,0,171,0,0,29,1,0,200,1.0,0.004975124378109453,1.0,0.005813953488372093,0.0,0.0,0.8373252684334824,0.8373252684334824,FAIL,"{""cache_key"": ""d8ce220606a63cfb9859b926"", ""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0, ""map50"": 0.46916690967412705, ""verdict"": ""MARGINAL""}","{""cache_key"": ""6628aac224913e2efe9c83ed"", ""camera_noise"": 0.51, ""fog_percent"": 80.0, ""illumination_lux"": 2250.0, ""map50"": 0.0029069767441860465, ""verdict"": ""FAIL""}","{""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.0200243,57.4268563,4.832061599940062,0.4024577997624874,3.2300129532814026e-05,62.68143229983208,False,6628aac224913e2efe9c83ed,24B44E97EF1D5F50A2FC370C5B1BCEDA959B649E230BCBD268536176979A19B0,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S4,원거리 시작 후 전방 접근,6,72.5,2625.0,0.465,0.0755813953488372,0.3103448275862069,0.19296311146752204,172,29,13,9,13,0,159,9,0,20,22,0,179,1.0,0.10945273631840796,1.0,0.0755813953488372,1.0,0.3103448275862069,0.9760628985348383,0.8494869522618036,FAIL,"{""cache_key"": ""d8ce220606a63cfb9859b926"", ""camera_noise"": 0.42, ""fog_percent"": 65.0, ""illumination_lux"": 3000.0, ""map50"": 0.46916690967412705, ""verdict"": ""MARGINAL""}","{""cache_key"": ""57041958c09f6bcf677a6441"", ""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0, ""map50"": 0.19296311146752204, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4425, ""fog_percent"": 68.75, ""illumination_lux"": 2812.5}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.0197457,54.8044849,4.858186200261116,0.0012081991881132126,3.3700838685035706e-05,59.683658700287914,False,57041958c09f6bcf677a6441,24B44E97EF1D5F50A2FC370C5B1BCEDA959B649E230BCBD268536176979A19B0,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S4,원거리 시작 후 전방 접근,7,68.75,2812.5,0.4425,0.1511627906976744,0.5517241379310345,0.35144346431435447,172,29,26,16,26,0,146,16,0,13,42,0,159,1.0,0.208955223880597,1.0,0.1511627906976744,1.0,0.5517241379310345,0.9822069582096807,0.880027968621151,MARGINAL,"{""cache_key"": ""4c5160d1b213261326cf9bc0"", ""camera_noise"": 0.4425, ""fog_percent"": 68.75, ""illumination_lux"": 2812.5, ""map50"": 0.35144346431435447, ""verdict"": ""MARGINAL""}","{""cache_key"": ""57041958c09f6bcf677a6441"", ""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0, ""map50"": 0.19296311146752204, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4537, ""fog_percent"": 70.62, ""illumination_lux"": 2718.8}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.0214454,58.2130662,5.869999401271343,0.0013628993183374405,5.440041422843933e-05,64.1059283010039,False,4c5160d1b213261326cf9bc0,24B44E97EF1D5F50A2FC370C5B1BCEDA959B649E230BCBD268536176979A19B0,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S4,원거리 시작 후 전방 접근,8,70.62,2718.8,0.4537,0.11046511627906977,0.4482758620689655,0.27937048917401763,172,29,19,13,19,0,153,13,0,16,32,0,169,1.0,0.15920398009950248,1.0,0.11046511627906977,1.0,0.4482758620689655,0.9830409030972742,0.8729013981716802,MARGINAL,"{""cache_key"": ""b81bc784f54cdb9bd6ee80b8"", ""camera_noise"": 0.4537, ""fog_percent"": 70.62, ""illumination_lux"": 2718.8, ""map50"": 0.27937048917401763, ""verdict"": ""MARGINAL""}","{""cache_key"": ""57041958c09f6bcf677a6441"", ""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0, ""map50"": 0.19296311146752204, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4594, ""fog_percent"": 71.56, ""illumination_lux"": 2671.9}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.0237703,64.8301768,6.102394800633192,0.0015874002128839493,3.600120544433594e-05,70.95796530205152,False,b81bc784f54cdb9bd6ee80b8,24B44E97EF1D5F50A2FC370C5B1BCEDA959B649E230BCBD268536176979A19B0,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S4,원거리 시작 후 전방 접근,9,71.56,2671.9,0.4594,0.0872093023255814,0.41379310344827586,0.2505012028869286,172,29,15,12,15,0,157,12,0,17,27,0,174,1.0,0.13432835820895522,1.0,0.0872093023255814,1.0,0.41379310344827586,0.9803867664503935,0.8666437815822264,MARGINAL,"{""cache_key"": ""961ffe1bb5dd7783e28f2d6e"", ""camera_noise"": 0.4594, ""fog_percent"": 71.56, ""illumination_lux"": 2671.9, ""map50"": 0.2505012028869286, ""verdict"": ""MARGINAL""}","{""cache_key"": ""57041958c09f6bcf677a6441"", ""camera_noise"": 0.465, ""fog_percent"": 72.5, ""illumination_lux"": 2625.0, ""map50"": 0.19296311146752204, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4622, ""fog_percent"": 72.03, ""illumination_lux"": 2648.4}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.022209,65.8542705,5.903592601418495,0.0021350011229515076,4.849955439567566e-05,71.78225560209584,False,961ffe1bb5dd7783e28f2d6e,24B44E97EF1D5F50A2FC370C5B1BCEDA959B649E230BCBD268536176979A19B0,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
kci_multi_scenario_symmetric_v1__20260902_201715_587801,S4,원거리 시작 후 전방 접근,10,72.03,2648.4,0.4622,0.0755813953488372,0.3793103448275862,0.2274458700882117,172,29,13,11,13,0,159,11,0,18,24,0,177,1.0,0.11940298507462686,1.0,0.0755813953488372,1.0,0.3793103448275862,0.9780627561708661,0.8635039016056213,FAIL,"{""cache_key"": ""961ffe1bb5dd7783e28f2d6e"", ""camera_noise"": 0.4594, ""fog_percent"": 71.56, ""illumination_lux"": 2671.9, ""map50"": 0.2505012028869286, ""verdict"": ""MARGINAL""}","{""cache_key"": ""dacf4b96047212968a713a17"", ""camera_noise"": 0.4622, ""fog_percent"": 72.03, ""illumination_lux"": 2648.4, ""map50"": 0.2274458700882117, ""verdict"": ""FAIL""}","{""camera_noise"": 0.4608, ""fog_percent"": 71.8, ""illumination_lux"": 2660.2}",symmetric_midpoint: 0.50*nonfail + 0.50*fail,0.0234039,63.1098815,5.570098100230098,0.001405598595738411,4.330091178417206e-05,68.70483239973763,False,dacf4b96047212968a713a17,24B44E97EF1D5F50A2FC370C5B1BCEDA959B649E230BCBD268536176979A19B0,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,rendered_instance_mask_v1
