session_id,scenario_id,trajectory_name,major_changes,scenario_config_sha256,initial_map50,initial_verdict,initial_pass,first_fail_iteration,search_success,final_nonfail_anchor,final_fail_anchor,gap_map50,gap_environment_normalized,boundary_physical_differences,environment_range_denominators,evaluation_count,actual_new_inference_count,evaluation_store_use_count,total_execution_seconds,scenario_driver_wall_seconds,nonmonotonic_map_increase_count,nonmonotonic_map_increase_events,failure_or_unsearchable_reason,boundary_interpretation
kci_diverse_training_s0_s4_v1__20260903_011624_021544,S0,기준 동서 직선 순항,"[""기존 대표 시나리오를 최종 렌더러로 독립 재실행""]",FB600B8226D0FB0957C01E8F2D61B14B1980FEF489668CDEACAF3E17F0EF5719,0.991945917971277,PASS,True,4,True,"{""cache_key"": ""3092a7104f186e844cce5134"", ""camera_noise"": 0.5381, ""fog_percent"": 84.69, ""illumination_lux"": 2015.7, ""map50"": 0.31080168624917237, ""verdict"": ""MARGINAL""}","{""cache_key"": ""3c5f5ac40e5c58b1e675f233"", ""camera_noise"": 0.5409, ""fog_percent"": 85.16, ""illumination_lux"": 1992.2, ""map50"": 0.17006090197724333, ""verdict"": ""FAIL""}",0.14074078427192904,0.010954504504504536,"{""camera_noise"": 0.0028000000000000247, ""fog_percent_points"": 0.46999999999999886, ""illumination_lux"": 23.5, ""map50"": 0.14074078427192904}","{""camera_noise"": {""max"": 0.6, ""min"": 0.0, ""range"": 0.6}, ""fog_percent"": {""max"": 100.0, ""min"": 0.0, ""range"": 100.0}, ""illumination_lux"": {""max"": 15000.0, ""min"": 200.0, ""range"": 14800.0}}",10,9,1,567.6327720969246,514.9789022002369,0,[],null,"The boundary is the interval between final non-failure (PASS or MARGINAL) and FAIL anchors, not a single exact environment point."
kci_diverse_training_s0_s4_v1__20260903_011624_021544,S1,남쪽에서 북쪽으로 횡방향 관측,"[""UAV 진행축을 x축에서 y축으로 변경"", ""표적을 측면 관측 폭에 맞춰 재배치""]",5926015C23C35070FE89B66705438DDE8B02253C42BDDE2B74D34EB0C23BCDF3,0.9872241579558653,PASS,True,4,True,"{""cache_key"": ""2dad425ab0a9bb0c425dd720"", ""camera_noise"": 0.5297, ""fog_percent"": 83.28, ""illumination_lux"": 2085.9, ""map50"": 0.3314397751538534, ""verdict"": ""MARGINAL""}","{""cache_key"": ""a65cdd54a4a4303aad57e726"", ""camera_noise"": 0.5325, ""fog_percent"": 83.75, ""illumination_lux"": 2062.5, ""map50"": 0.24108193374342057, ""verdict"": ""FAIL""}",0.09035784141043285,0.010947747747747785,"{""camera_noise"": 0.0028000000000000247, ""fog_percent_points"": 0.46999999999999886, ""illumination_lux"": 23.40000000000009, ""map50"": 0.09035784141043285}","{""camera_noise"": {""max"": 0.6, ""min"": 0.0, ""range"": 0.6}, ""fog_percent"": {""max"": 100.0, ""min"": 0.0, ""range"": 100.0}, ""illumination_lux"": {""max"": 15000.0, ""min"": 200.0, ""range"": 14800.0}}",10,9,1,523.0960194983,471.8192226998508,0,[],null,"The boundary is the interval between final non-failure (PASS or MARGINAL) and FAIL anchors, not a single exact environment point."
kci_diverse_training_s0_s4_v1__20260903_011624_021544,S2,고도 점진 하강 접근,"[""18초 동안 고도 15 m 하강"", ""진행방향 전방에 표적 간격 유지""]",401342D194C445434F18A95F3A6CA2A844E2D4E587D49DEA3EFB73EC9F5F9F6E,0.9929078014184397,PASS,True,4,True,"{""cache_key"": ""712c12c323850c3aa13de344"", ""camera_noise"": 0.5353, ""fog_percent"": 84.22, ""illumination_lux"": 2039.1, ""map50"": 0.2516547185317609, ""verdict"": ""MARGINAL""}","{""cache_key"": ""7b3c06bf8b7d68e60a45682d"", ""camera_noise"": 0.5381, ""fog_percent"": 84.69, ""illumination_lux"": 2015.7, ""map50"": 0.12488415784363165, ""verdict"": ""FAIL""}",0.12677056068812925,0.010947747747747769,"{""camera_noise"": 0.0028000000000000247, ""fog_percent_points"": 0.46999999999999886, ""illumination_lux"": 23.399999999999864, ""map50"": 0.12677056068812925}","{""camera_noise"": {""max"": 0.6, ""min"": 0.0, ""range"": 0.6}, ""fog_percent"": {""max"": 100.0, ""min"": 0.0, ""range"": 100.0}, ""illumination_lux"": {""max"": 15000.0, ""min"": 200.0, ""range"": 14800.0}}",10,9,1,561.72786329452,509.4253028985113,0,[],null,"The boundary is the interval between final non-failure (PASS or MARGINAL) and FAIL anchors, not a single exact environment point."
kci_diverse_training_s0_s4_v1__20260903_011624_021544,S3,남서-북동 대각선 통과,"[""x와 y를 동시에 변화시키는 대각선 경로"", ""대각선 통로를 따라 표적 배치""]",6D8116DE430379AF03C26E0F1DA6DC6AAA4F3749C74425BC01BD15C30022BCC6,0.9860438069393294,PASS,True,4,True,"{""cache_key"": ""9aad953658190a35f178b429"", ""camera_noise"": 0.5325, ""fog_percent"": 83.75, ""illumination_lux"": 2062.5, ""map50"": 0.2569162835838678, ""verdict"": ""MARGINAL""}","{""cache_key"": ""2a66c266bf23551f89281277"", ""camera_noise"": 0.5353, ""fog_percent"": 84.22, ""illumination_lux"": 2039.1, ""map50"": 0.1864371074084959, ""verdict"": ""FAIL""}",0.07047917617537192,0.010947747747747785,"{""camera_noise"": 0.0028000000000000247, ""fog_percent_points"": 0.46999999999999886, ""illumination_lux"": 23.40000000000009, ""map50"": 0.07047917617537192}","{""camera_noise"": {""max"": 0.6, ""min"": 0.0, ""range"": 0.6}, ""fog_percent"": {""max"": 100.0, ""min"": 0.0, ""range"": 100.0}, ""illumination_lux"": {""max"": 15000.0, ""min"": 200.0, ""range"": 14800.0}}",10,9,1,578.2676465937417,527.7051793988794,1,"[{""from_environment"": {""camera_noise"": 0.02, ""fog_percent"": 5.0, ""illumination_lux"": 12000.0}, ""from_iteration"": 1, ""from_map50"": 0.9860438069393294, ""map50_increase"": 0.0031630950748597897, ""to_environment"": {""camera_noise"": 0.22, ""fog_percent"": 35.0, ""illumination_lux"": 6000.0}, ""to_iteration"": 2, ""to_map50"": 0.9892069020141891}]",null,"The boundary is the interval between final non-failure (PASS or MARGINAL) and FAIL anchors, not a single exact environment point."
kci_diverse_training_s0_s4_v1__20260903_011624_021544,S4,원거리 시작 후 전방 접근,"[""S0보다 27 m 먼 위치에서 시작"", ""접근 거리에 따라 표적 영상 크기가 증가하도록 표적열 확장""]",24B44E97EF1D5F50A2FC370C5B1BCEDA959B649E230BCBD268536176979A19B0,0.968223736968725,PASS,True,4,True,"{""cache_key"": ""0b057c6a017e56f3d375c840"", ""camera_noise"": 0.5325, ""fog_percent"": 83.75, ""illumination_lux"": 2062.5, ""map50"": 0.25942420233051744, ""verdict"": ""MARGINAL""}","{""cache_key"": ""b36f1e7a43efadf42b0314b8"", ""camera_noise"": 0.5353, ""fog_percent"": 84.22, ""illumination_lux"": 2039.1, ""map50"": 0.19463503283900843, ""verdict"": ""FAIL""}",0.06478916949150901,0.010947747747747785,"{""camera_noise"": 0.0028000000000000247, ""fog_percent_points"": 0.46999999999999886, ""illumination_lux"": 23.40000000000009, ""map50"": 0.06478916949150901}","{""camera_noise"": {""max"": 0.6, ""min"": 0.0, ""range"": 0.6}, ""fog_percent"": {""max"": 100.0, ""min"": 0.0, ""range"": 100.0}, ""illumination_lux"": {""max"": 15000.0, ""min"": 200.0, ""range"": 14800.0}}",10,9,1,619.2549682031042,567.4833038989455,0,[],null,"The boundary is the interval between final non-failure (PASS or MARGINAL) and FAIL anchors, not a single exact environment point."
