model,training_scenario_count,training_image_count,mean_images_per_training_scenario,validation_scenario_count,internal_validation_map50,S0_S4_initial_pass_count,S0_S4_initial_map50_min,S0_S4_initial_map50_max,boundary_search_success_count,mean_gap_map50,final_boundary_intervals,nonmonotonic_increase_count
기존 모델,6,366,61.0,2,0.97118,5,0.7448725607933085,0.9801353040029361,5,0.02440553465198319,"{""S0"": ""NF(78.12%, 2343.8 lx, 0.4988, 0.2666)–F(78.59%, 2320.4 lx, 0.5016, 0.2374)"", ""S1"": ""NF(72.03%, 2648.4 lx, 0.4622, 0.2526)–F(72.50%, 2625.0 lx, 0.4650, 0.2445)"", ""S2"": ""NF(73.44%, 2578.1 lx, 0.4707, 0.2749)–F(73.91%, 2554.6 lx, 0.4735, 0.2472)"", ""S3"": ""NF(73.44%, 2578.1 lx, 0.4707, 0.2829)–F(73.91%, 2554.6 lx, 0.4735, 0.2490)"", ""S4"": ""NF(71.56%, 2671.9 lx, 0.4594, 0.2505)–F(72.03%, 2648.4 lx, 0.4622, 0.2274)""}",1
새 다양화 모델,18,360,20.0,5,0.9684567915429048,5,0.968223736968725,0.9929078014184397,5,0.09862750640747442,"{""S0"": ""NF(84.69%, 2015.7 lx, 0.5381, 0.3108)–F(85.16%, 1992.2 lx, 0.5409, 0.1701)"", ""S1"": ""NF(83.28%, 2085.9 lx, 0.5297, 0.3314)–F(83.75%, 2062.5 lx, 0.5325, 0.2411)"", ""S2"": ""NF(84.22%, 2039.1 lx, 0.5353, 0.2517)–F(84.69%, 2015.7 lx, 0.5381, 0.1249)"", ""S3"": ""NF(83.75%, 2062.5 lx, 0.5325, 0.2569)–F(84.22%, 2039.1 lx, 0.5353, 0.1864)"", ""S4"": ""NF(83.75%, 2062.5 lx, 0.5325, 0.2594)–F(84.22%, 2039.1 lx, 0.5353, 0.1946)""}",1
