absolute_path,size_bytes,modified_at,sha256,model,task,training_data,class_count,class_names,simulation_training_evidence,baseline_corrected_gt_map50,baseline_verdict,selection
C:\Users\lab\Counterfactual-XAI-Verifier\yolov8s.pt,22588772,2026-05-06T13:02:12.8026989+09:00,1F47A78BF100391C2A140B7AC73A1CAAE18C32779BE7D310658112F7AC9AA78A,YOLOv8s,detect,coco.yaml,80,COCO,none,0.17796610169491525,FAIL,rejected
C:\Users\lab\Downloads\best.pt,5455187,2025-11-06T19:34:20.3459742+09:00,F9CCC3360F01CB4CEAC0AE6AA3F6C4CA469C998C745893C67412E24184E90F60,YOLO11n,detect,VisDrone.yaml,5,"car;tree;building;person;other",none,0.480903363003957,MARGINAL,rejected
C:\Users\lab\Counterfactual-XAI-Verifier\experiments\yolov8_search_comparison\training\yolov8s_sim_20260902\runs\full_yolov8s_seed42\weights\best.pt,22490595,2026-09-02T15:20:40.3570172+09:00,C5C549611CBE39EBCDB051863EE80F92AE0072266FEEB71A21CC7AABEBF57ECA,YOLOv8s,detect,yolov8s_sim_20260902/data.yaml,2,"person;vehicle",checkpoint data path and retained split manifests,0.9750427353718847,PASS,selected
