candidate,sha256,model_definition,training_data,class_count,resolved_mapping,person_ap50,vehicle_ap50,map50,verdict,person_gt,vehicle_gt,person_detections,vehicle_detections,person_tp,vehicle_tp,maximum_same_class_iou,mean_detection_max_iou,clipped_gt_map50_diagnostic_only,inference_seconds
C:\Users\lab\Counterfactual-XAI-Verifier\yolov8s.pt,1F47A78BF100391C2A140B7AC73A1CAAE18C32779BE7D310658112F7AC9AA78A,yolov8s.yaml,coco.yaml,80,"{""0"": ""person"", ""2"": ""vehicle"", ""3"": ""vehicle"", ""5"": ""vehicle"", ""7"": ""vehicle""}",0.3559322033898305,0.0,0.17796610169491525,FAIL,118,131,44,0,42,0,0.943430444154815,0.8414509875293427,0.17796610169491525,4.9398681987077
C:\Users\lab\Downloads\best.pt,F9CCC3360F01CB4CEAC0AE6AA3F6C4CA469C998C745893C67412E24184E90F60,yolo11n.pt,VisDrone.yaml,5,"{""0"": ""vehicle"", ""3"": ""person""}",0.9024669987292554,0.05933972727865858,0.480903363003957,MARGINAL,118,131,179,13,108,9,0.9275195606065614,0.4552155935316285,0.480903363003957,1.8050833009183407
