gt_frame_offset_relative_to_prediction,pair_count,mean_max_iou,median_max_iou,maximum_iou,count_iou_ge_0_5
-2,43,0.34489357238707313,0.353083371256772,0.4658534694248853,0
-1,43,0.3841354304069102,0.389188229443535,0.4878410372831316,0
0,44,0.3706172872249814,0.38219464619487187,0.48345115315138837,0
1,44,0.3398127600760512,0.35702294802969536,0.480436657635931,0
2,44,0.24476201333734787,0.24976986858258432,0.3845250362954005,0
