search_method,detector,scenario_id,random_seed,evaluation_count,logical_evaluation_count,actual_new_evaluation_count,cache_hit_count,first_fail_evaluation,boundary_success,gap_map50,gap_environment_normalized,simulation_total_seconds,yolov8_inference_total_seconds,next_scenario_total_seconds,accounted_total_seconds,driver_wall_seconds,stop_reason
symmetric,yolov8,mountain_uav_default_layout,42,10,10,10,0,4,True,0.02924052270668906,0.010947747747747785,494.6189698,47.63977510482073,0.00041289813816547394,542.2771573011325,553.7971295006573,maximum_evaluations_reached
asymmetric,yolov8,mountain_uav_default_layout,42,10,10,5,5,4,True,0.20727131582352176,0.0812765765765765,483.0012589,46.363752502948046,0.00030510313808918,529.3831430092288,251.1174039002508,maximum_evaluations_reached
