class_name,box_count,unique_object_count,nonpositive_count,out_of_bounds_count,width_min,width_q25,width_median,width_mean,width_q75,width_max,height_min,height_q25,height_median,height_mean,height_q75,height_max,area_min,area_q25,area_median,area_mean,area_q75,area_max
person,125,3,0,30,24.19380371845085,27.46754476055537,30.123566480344948,30.17587054593183,32.777043185260936,36.987803820268255,43.837748455186784,49.89701137116987,52.90815132600335,52.36935717637009,55.21296628246361,58.566065858545215,1341.6560067834696,1518.102153469585,1561.5825606250196,1569.7430990078744,1631.6935636224855,1723.0492785045506
vehicle,133,2,0,46,48.44356479220971,54.49321043253565,59.99948136322905,60.966087150646565,67.05374561003237,78.04790289729573,67.9569491243748,72.18494435071511,73.44581636668332,73.86535867389004,76.67819377590314,78.06218187446828,3292.07686798755,3936.1312921505264,4464.006820393524,4519.493568828953,5065.223014905036,6032.235154925988
ALL,258,5,0,76,24.19380371845085,30.29602617863607,49.314869615351,46.048346547587094,60.36096298372708,78.04790289729573,43.837748455186784,53.04454826119687,68.4727252273962,63.450629266176875,73.47877046710704,78.06218187446828,1341.6560067834696,1562.5051749497616,3376.7327890345373,3090.350899341997,4497.560442333407,6032.235154925988
