candidate,sha256,model_definition,training_data,class_count,resolved_mapping,person_ap50,vehicle_ap50,map50,verdict,person_gt,vehicle_gt,person_detections,vehicle_detections,person_tp,vehicle_tp,maximum_same_class_iou,mean_detection_max_iou,clipped_gt_map50_diagnostic_only,inference_seconds
C:\Users\lab\Counterfactual-XAI-Verifier\yolov8s.pt,1F47A78BF100391C2A140B7AC73A1CAAE18C32779BE7D310658112F7AC9AA78A,yolov8s.yaml,coco.yaml,80,"{""0"": ""person"", ""2"": ""vehicle"", ""3"": ""vehicle"", ""5"": ""vehicle"", ""7"": ""vehicle""}",0.0,0.0,0.0,FAIL,125,133,44,0,0,0,0.48345115315138837,0.3706172872249814,9.75609756097561e-05,5.77632249891758
C:\Users\lab\Downloads\best.pt,F9CCC3360F01CB4CEAC0AE6AA3F6C4CA469C998C745893C67412E24184E90F60,yolo11n.pt,VisDrone.yaml,5,"{""0"": ""vehicle"", ""3"": ""person""}",0.042345261026466456,0.0584474005526637,0.05039633078956508,FAIL,125,133,179,13,20,9,0.8184232155118759,0.27456202429510973,0.05120403632792077,2.4273883998394012
