search_method,detector,scenario_id,random_seed,evaluation_count,first_fail_evaluation,boundary_success,gap_map50,gap_environment_normalized,simulation_total_seconds,yolov8_inference_total_seconds,next_scenario_total_seconds,accounted_total_seconds,driver_wall_seconds,stop_reason
symmetric,yolov8,mountain_uav_default_layout,42,1,1,False,,,66.0171617,5.736802799627185,2.6989728212356567e-06,71.75664679804905,0.0038259997963905334,stop_unbracketed: FAIL exists but no PASS/MARGINAL anchor
asymmetric,yolov8,mountain_uav_default_layout,42,1,1,False,,,66.0171617,5.736802799627185,2.000480890274048e-06,71.75664609955712,0.0019587017595767975,stop_unbracketed: FAIL exists but no PASS/MARGINAL anchor
